zip,area,value,tier
# US high-value home-area ZIPs (Zillow ZHVI). Regenerate with scripts/build_us_property.py.
# Lines starting with # are ignored. Tier: ultra (>= $2M) / prime (>= $1M) latest ZHVI.
37014,Arrington TN,1267598,prime
37027,Brentwood TN,1232627,prime
37046,College Grove TN,1288498,prime
37069,Franklin TN,1018125,prime
37204,Nashville TN,1001659,prime
37205,Nashville TN,1087169,prime
37215,Nashville TN,1206417,prime
37350,Lookout Mountain TN,1068063,prime
49434,Macatawa MI,1213192,prime
49654,Maple City MI,1288684,prime
49674,MI,1034220,prime
55391,Woodland MN,1019524,prime
55424,Edina MN,1036008,prime
59065,MT,1066600,prime
59716,Big Sky MT,1881150,prime
59730,Gallatin Gateway MT,1383873,prime
59931,Proctor MT,1148190,prime
60022,Glencoe IL,1629616,prime
60029,Golf IL,1323438,prime
60043,Kenilworth IL,2101262,ultra
60045,Lake Forest IL,1187129,prime
60093,Winnetka IL,1546118,prime
60521,Hinsdale IL,1234611,prime
63124,Ladue MO,1293749,prime
63131,Des Peres MO,1001133,prime
75205,Highland Park TX,2120467,ultra
75209,Dallas TX,1067951,prime
75225,University Park TX,2111549,ultra
75230,Dallas TX,1082126,prime
76092,Southlake TX,1319018,prime
77005,Houston TX,1706721,prime
77024,Houston TX,1437173,prime
77401,Bellaire TX,1181660,prime
78703,Austin TX,1307808,prime
78730,Austin TX,1151561,prime
78731,Austin TX,1039538,prime
78733,Austin TX,1175222,prime
78746,West Lake Hills TX,1721903,prime
78954,Round Top TX,1173033,prime
80116,Franktown CO,1059888,prime
80302,Boulder CO,1125652,prime
80304,Boulder CO,1244062,prime
80305,Boulder CO,1000679,prime
80424,Breckenridge CO,1199596,prime
80478,Granby CO,1056292,prime
80487,Steamboat Springs CO,1314412,prime
81224,Crested Butte CO,1450089,prime
81426,Ophir CO,1013732,prime
81430,Placerville CO,1245634,prime
81435,CO,2146088,ultra
81611,Aspen CO,3454526,ultra
81615,Snowmass Village CO,2392367,ultra
81620,Avon CO,1238027,prime
81621,Basalt CO,1447390,prime
81623,Carbondale CO,1368467,prime
81631,Eagle CO,1012387,prime
81632,Edwards CO,1859707,prime
81654,CO,2829482,ultra
81656,Woody Creek CO,5501896,ultra
81657,Vail CO,1908949,prime
83001,Jackson WY,1971685,prime
83013,Moran WY,1618284,prime
83014,Wilson WY,3278656,ultra
83025,Wilson WY,3592469,ultra
83340,Ketchum ID,1536199,prime
83353,Sun Valley ID,1244494,prime
83414,Alta WY,1983592,prime
83821,Coolin ID,1146696,prime
